code;location;registered;envelopes;valid;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
588300;Ba¯ice-VelkÈ TÏöany;374;269;268;15;0;1;20;0;20;30;1;1;3;0;0;17;0;9;71;0;1;30;2;0;0;46;1
588326;BezmÏrov;426;270;264;20;0;0;21;0;1;21;0;4;2;0;0;22;0;6;86;1;1;25;3;1;0;47;3
542318;Blazice;172;120;120;10;0;0;7;1;9;11;1;0;0;1;0;6;0;2;26;0;3;16;0;0;1;26;0
549690;Bo¯enovice;149;100;99;5;0;0;8;0;1;11;3;0;5;0;0;5;0;1;31;0;0;14;1;0;0;14;0
588377;BrusnÈ;301;197;196;4;0;0;9;2;5;38;0;1;5;1;0;25;0;2;48;0;0;17;0;3;0;36;0
588385;B¯est;756;500;491;59;1;0;26;0;11;32;5;5;8;0;1;26;0;13;155;0;0;85;3;1;0;60;0
588393;Byst¯ice pod Host˝nem;6†871;4†177;4†150;389;8;2;266;4;164;315;49;16;33;11;4;283;5;108;1†248;7;5;333;15;2;2;864;17
588407;Cetechovice;157;79;79;5;0;1;2;0;6;9;0;3;0;0;0;4;0;0;27;0;1;12;0;0;3;6;0
588431;D¯Ìnov;357;217;216;7;0;0;22;0;10;46;2;2;1;0;0;7;0;1;69;0;0;16;0;0;2;31;0
588458;Holeöov;9†540;5†763;5†697;460;22;2;566;6;240;554;54;26;81;5;6;454;10;180;1†636;3;7;502;30;10;8;816;19
542342;HonÏtice;52;31;31;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;18;0;0;1;0;0;0;5;0
